sku_nbr,sub_class,sales_units,month,sku_name,model_type
145590,026-001-005-ABS FITTINGS,6453.856212518942,2027-02-01,2_ABS_CAP_HUB,prophet
161038,026-001-013-CPVC FITTINGS,4954.826553635482,2026-03-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,3481.991921581253,2026-04-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,3486.191617316776,2026-05-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,4547.066257656511,2026-06-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,3567.2484126915583,2026-07-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,3308.2863488068792,2026-08-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,3892.2942494879962,2026-09-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,3300.295894905867,2026-10-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,3289.2962375851794,2026-11-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,4764.296308952527,2026-12-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,4722.296323815691,2027-01-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
161038,026-001-013-CPVC FITTINGS,4172.296326911134,2027-02-01,1/2_CPVC_EL_90_DEG_SXS_10_PACK,SARIMA
173065,026-001-005-ABS FITTINGS,9500.170644893053,2026-03-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,7543.238063802319,2026-04-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,7342.372230836686,2026-05-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,8893.57321749244,2026-06-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,7351.985943154961,2026-07-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,7193.386371712436,2026-08-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,8981.89679433934,2026-09-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,7102.958769542966,2026-10-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,6755.841318059335,2026-11-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,8802.045772584268,2026-12-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,7210.284293678686,2027-01-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
173065,026-001-005-ABS FITTINGS,7226.704898712639,2027-02-01,2_ABS_EL_90_DEG_STREET_HXSPG,prophet
