sku_nbr,sku_name,sub_class,status,n_months,best_model_type,best_avg_mape,best_fold_mapes,n_successful_folds,best_params,n_candidate_models
187755,3/4X1/2_CPVC_COUPLING_SXS,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,7.668548386647956,"[np.float64(7.441224555731857), np.float64(7.47993540046812), np.float64(4.955028788103264), np.float64(10.79800480228858)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187763,1/2_CPVC_CAP_SLIP,026-001-013-CPVC FITTINGS,forecasted,38,SARIMA,6.9519427683637804,"[np.float64(11.985725614642465), np.float64(1.771485613194167), np.float64(4.559007659836001), np.float64(9.49155218578249)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
187771,3/4_CPVC_CAP_SLIP,026-001-013-CPVC FITTINGS,forecasted,38,prophet,7.0049949225437045,"[np.float64(9.343606371071656), np.float64(10.171659126696026), np.float64(1.0972019826717259), np.float64(7.407512209735407)]",4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive'}",26
187909,1/2_PVC_TEE_SXSXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,11.419646285155384,"[np.float64(22.299048535314647), np.float64(3.456082710758659), np.float64(10.569843535123107), np.float64(9.35361035942513)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",26
187917,3/4_PVC_TEE_SXSXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,7.298944463987498,"[np.float64(8.721911651365327), np.float64(7.606903756224305), np.float64(7.724016353387721), np.float64(5.142946094972639)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive'}",26
187925,1_PVC_TEE_SXSXS,026-001-003-PVC FITTINGS,forecasted,38,SARIMA,6.680030449594648,"[np.float64(2.6595759006317983), np.float64(14.496002687330426), np.float64(3.6371447196218756), np.float64(5.9273984907944905)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
187941,3/4_PVC_TEE_SXSXFPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,10.39385577541171,"[np.float64(30.752519731578797), np.float64(2.5830828649634907), np.float64(3.515030543595082), np.float64(4.724789961509473)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive'}",26
187968,1/2_PVC_EL_90D_SXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,7.628372224339653,"[np.float64(16.15458485009109), np.float64(3.046643515417891), np.float64(7.627661264394947), np.float64(3.6845992674546864)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'multiplicative'}",26
187976,3/4_PVC_EL_90D_SXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,6.88059488900537,"[np.float64(11.602122161621987), np.float64(8.889178609648289), np.float64(5.059650460596387), np.float64(1.971428324154818)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'multiplicative'}",26
187984,1_PVC_EL_90D_SXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,3.3434350066775784,"[np.float64(4.672803735912373), np.float64(2.7414796342977876), np.float64(2.9779367980208775), np.float64(2.981519858479276)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
187992,3/4_PVC_EL_90D_SXFPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,9.214394272813298,"[np.float64(21.32277536255325), np.float64(2.2823964061208435), np.float64(6.940725272830532), np.float64(6.3116800497485706)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",26
188018,1/2_PVC_EL_45D_SXS,026-001-003-PVC FITTINGS,forecasted,38,SARIMA,6.7127380832495245,"[np.float64(8.896409681496614), np.float64(8.712669318779497), np.float64(2.5892625429969818), np.float64(6.652610789725006)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188026,3/4_PVC_EL_45D_SXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,7.887789373555612,"[np.float64(15.14721294095823), np.float64(7.89891355566838), np.float64(3.0853127826982227), np.float64(5.4197182148976175)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188034,1_PVC_EL_45D_SXS,026-001-003-PVC FITTINGS,forecasted,38,SARIMA,6.139993129036324,"[np.float64(8.834151939470118), np.float64(1.4969898925141465), np.float64(5.863305574805197), np.float64(8.365525109355836)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188042,3/4X1/2_PVC_BUSHING_SPGXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,9.697598242008784,"[np.float64(22.452986612214843), np.float64(4.76103439608933), np.float64(5.4594405577329415), np.float64(6.1169314019980225)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive'}",26
188050,1X3/4_PVC_BUSHING_SPGXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,9.97153473594901,"[np.float64(13.106053903159461), np.float64(11.965775721280869), np.float64(9.64433507985339), np.float64(5.169974239502326)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
188069,1/2_PVC_COUPLING_SXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,8.98648963260736,"[np.float64(16.805736160897414), np.float64(3.2713018099623072), np.float64(7.2867915713701725), np.float64(8.582128988199539)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive'}",26
188077,3/4_PVC_COUPLING_SXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,8.336578725340951,"[np.float64(17.494741117550593), np.float64(5.828691051340168), np.float64(4.663187144199159), np.float64(5.359695588273886)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
